id,class
100053,smooth
100090,smooth
100444,smooth
100458,smooth
100479,smooth
100672,smooth
100724,smooth
100727,smooth
100867,smooth
101092,smooth
101247,smooth
101290,smooth
101291,smooth
101518,smooth
101538,smooth
101548,smooth
101623,smooth
101627,smooth
101695,smooth
101816,smooth
101858,smooth
101943,smooth
102000,smooth
102182,smooth
102260,smooth
102371,smooth
102481,smooth
102513,smooth
102602,smooth
102804,smooth
102839,smooth
102928,smooth
102933,smooth
102977,smooth
103072,smooth
103260,smooth
103348,smooth
103354,smooth
103500,smooth
103646,smooth
103707,smooth
103718,smooth
103758,smooth
103819,smooth
103902,smooth
104096,smooth
104143,smooth
104159,smooth
104173,smooth
104196,smooth
104422,smooth
104440,smooth
104611,smooth
104612,smooth
104703,smooth
104988,smooth
105020,smooth
105088,smooth
105165,smooth
105258,smooth
105447,smooth
105459,smooth
105507,smooth
105755,smooth
105757,smooth
105797,smooth
105870,smooth
105991,smooth
106028,smooth
106040,smooth
106170,smooth
106652,smooth
106773,smooth
106781,smooth
106800,smooth
106841,smooth
106896,smooth
106923,smooth
107143,smooth
107272,smooth
107298,smooth
107388,smooth
107394,smooth
107435,smooth
107461,smooth
107521,smooth
107553,smooth
107573,smooth
107610,smooth
107619,smooth
107692,smooth
107828,smooth
107849,smooth
107888,smooth
107961,smooth
107967,smooth
107975,smooth
108146,smooth
108195,smooth
108305,smooth
108580,smooth
108624,smooth
108645,smooth
108661,smooth
108672,smooth
108692,smooth
108715,smooth
108717,smooth
108914,smooth
108920,smooth
108928,smooth
108988,smooth
108994,smooth
109033,smooth
109098,smooth
109155,smooth
109180,smooth
109215,smooth
109282,smooth
109402,smooth
109404,smooth
109750,smooth
109977,smooth
110121,smooth
110139,smooth
110195,smooth
110306,smooth
110313,smooth
110411,smooth
110480,smooth
110636,smooth
110805,smooth
110821,smooth
110858,smooth
111207,smooth
111223,smooth
111240,smooth
111274,smooth
111312,smooth
111383,smooth
111428,smooth
111597,smooth
111681,smooth
111753,smooth
111793,smooth
112119,smooth
112135,smooth
112254,smooth
112512,smooth
112592,smooth
112628,smooth
112846,smooth
112918,smooth
112964,smooth
113118,smooth
113279,smooth
113420,smooth
113483,smooth
113518,smooth
113566,smooth
113746,smooth
113761,smooth
113828,smooth
113857,smooth
113965,smooth
113992,smooth
113999,smooth
114190,smooth
114191,smooth
114294,smooth
114319,smooth
114588,smooth
114650,smooth
114682,smooth
114695,smooth
114696,smooth
114993,smooth
115051,smooth
115094,smooth
115109,smooth
115235,smooth
115255,smooth
115330,smooth
115449,smooth
115545,smooth
115854,smooth
115883,smooth
115886,smooth
116045,smooth
116210,smooth
116435,smooth
116524,smooth
116565,smooth
116669,smooth
116723,smooth
116844,smooth
116879,smooth
116886,smooth
116927,smooth
117090,smooth
117510,smooth
117587,smooth
117813,smooth
117853,smooth
118015,smooth
118044,smooth
118063,smooth
118074,smooth
118119,smooth
118141,smooth
118163,smooth
118348,smooth
118944,smooth
118949,smooth
119256,smooth
119314,smooth
119334,smooth
119384,smooth
119398,smooth
119666,smooth
119693,smooth
119766,smooth
119798,smooth
120006,smooth
120036,smooth
120062,smooth
120107,smooth
120201,smooth
120314,smooth
120438,smooth
120535,smooth
120566,smooth
120763,smooth
120774,smooth
120891,smooth
121059,smooth
121190,smooth
121262,smooth
121346,smooth
121459,smooth
121590,smooth
121592,smooth
121801,smooth
121899,smooth
121946,smooth
121960,smooth
122020,smooth
122158,smooth
122298,smooth
122307,smooth
122469,smooth
122608,smooth
122634,smooth
122672,smooth
122717,smooth
122754,smooth
122870,smooth
122877,smooth
122933,smooth
123059,smooth
123067,smooth
123118,smooth
123141,smooth
123192,smooth
123243,smooth
123412,smooth
123433,smooth
123517,smooth
123679,smooth
123695,smooth
123713,smooth
123811,smooth
124076,smooth
124210,smooth
124375,smooth
124434,smooth
124578,smooth
124648,smooth
124977,smooth
124994,smooth
125006,smooth
125063,smooth
125119,smooth
125129,smooth
125151,smooth
125199,smooth
125304,smooth
125393,smooth
125576,smooth
125683,smooth
125686,smooth
125739,smooth
125746,smooth
125798,smooth
125975,smooth
125983,smooth
126338,smooth
126391,smooth
126475,smooth
126510,smooth
126540,smooth
126719,smooth
126740,smooth
126847,smooth
126961,smooth
127057,smooth
127059,smooth
127297,smooth
127458,smooth
127465,smooth
127546,smooth
127627,smooth
127687,smooth
127788,smooth
127817,smooth
127857,smooth
128068,smooth
128147,smooth
128220,smooth
128277,smooth
128316,smooth
128357,smooth
128389,smooth
128499,smooth
128519,smooth
128720,smooth
128724,smooth
128799,smooth
128815,smooth
128832,smooth
128936,smooth
128978,smooth
129168,smooth
129202,smooth
129211,smooth
129277,smooth
129359,smooth
129365,smooth
129439,smooth
129456,smooth
129458,smooth
129488,smooth
129556,smooth
129721,smooth
129780,smooth
129809,smooth
130110,smooth
130355,smooth
130403,smooth
130450,smooth
130456,smooth
130558,smooth
130745,smooth
130759,smooth
130768,smooth
130781,smooth
130803,smooth
130971,smooth
131054,smooth
131064,smooth
131164,smooth
131211,smooth
131293,smooth
131373,smooth
131376,smooth
131410,smooth
131504,smooth
131585,smooth
131635,smooth
131855,smooth
131939,smooth
132003,smooth
132188,smooth
132209,smooth
132280,smooth
132342,smooth
132350,smooth
132382,smooth
132416,smooth
132419,smooth
132623,smooth
132754,smooth
132788,smooth
132802,smooth
132813,smooth
132825,smooth
132957,smooth
133036,smooth
133161,smooth
133287,smooth
133289,smooth
133355,smooth
133596,smooth
133637,smooth
133654,smooth
133675,smooth
133862,smooth
133870,smooth
134055,smooth
134068,smooth
134087,smooth
134234,smooth
134270,smooth
134277,smooth
134289,smooth
134363,smooth
134415,smooth
134424,smooth
134463,smooth
134631,smooth
134681,smooth
134798,smooth
134877,smooth
134899,smooth
135134,smooth
135172,smooth
135173,smooth
135184,smooth
135352,smooth
135359,smooth
135494,smooth
135524,smooth
135536,smooth
135616,smooth
135705,smooth
135890,smooth
135972,smooth
135980,smooth
136233,smooth
136385,smooth
136387,smooth
136414,smooth
136418,smooth
136439,smooth
136565,smooth
136581,smooth
136592,smooth
136821,smooth
136827,smooth
136929,smooth
137135,smooth
137150,smooth
137352,smooth
137390,smooth
137405,smooth
137585,smooth
137587,smooth
137644,smooth
137709,smooth
137969,smooth
138164,smooth
138204,smooth
138215,smooth
138339,smooth
138351,smooth
138360,smooth
138436,smooth
138551,smooth
138565,smooth
138725,smooth
138769,smooth
138772,smooth
138818,smooth
138859,smooth
138916,smooth
138962,smooth
139077,smooth
139109,smooth
139202,smooth
139205,smooth
139269,smooth
139303,smooth
139355,smooth
139523,smooth
139554,smooth
139862,smooth
139940,smooth
139955,smooth
140063,smooth
140176,smooth
140206,smooth
140246,smooth
140254,smooth
140289,smooth
140329,smooth
140398,smooth
140402,smooth
